Text,Level,Tokens
was hemingway a great american writer? first you will need to define greatness.,Evaluate,"['was', 'hemingway', 'a', 'great', 'american', 'writer', '?', 'first', 'you', 'will', 'need', 'to', 'define', 'greatness', '.']"
suppose phillip wasn't rescued shortly after timothy's death. how long could he have survived?,Create,"['suppose', 'phillip', 'was', ""n't"", 'rescued', 'shortly', 'after', 'timothy', ""'s"", 'death', '.', 'how', 'long', 'could', 'he', 'have', 'survived', '?']"
"given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluate,"['given', 'three', 'possible', 'approaches', 'to', 'implement', 'the', 'defined', 'system', ',', 'discuss', 'the', 'possible', 'advantages', 'and', 'disadvantages', 'of', 'each', 'approach', '.']"
"differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyze,"['differentiate', 'the', 'passages', 'that', 'attacked', 'a', 'political', 'opponent', 'personally', ',', 'and', 'those', 'that', 'attacked', 'an', 'opponent', ""'s"", 'political', 'programs', '.']"
calculate the deflection of a beam under uniform loading.,Apply,"['calculate', 'the', 'deflection', 'of', 'a', 'beam', 'under', 'uniform', 'loading', '.']"
"critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluate,"['critique', 'the', 'other', 'student', ""'s"", '(', 'or', 'your', 'own', ')', 'speech', ',', 'based', 'on', 'the', 'criteria', 'we', 'have', 'studied', 'this', 'semester', '.']"
"explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Understand,"['explain', 'what', 'the', 'author', 'means', 'by', 'the', 'statement', '``', 'our', 'intellectual', 'powers', 'are', 'geared', 'to', 'master', 'static', 'relations', '.']"
name the four major food groups.,Remember,"['name', 'the', 'four', 'major', 'food', 'groups', '.']"
compare and contrast two characters in the book.,Analyze,"['compare', 'and', 'contrast', 'two', 'characters', 'in', 'the', 'book', '.']"
take a collection of photographs to demonstrate a particular point.,Apply,"['take', 'a', 'collection', 'of', 'photographs', 'to', 'demonstrate', 'a', 'particular', 'point', '.']"
judge aesthetic qualities and relationship to future values.,Evaluate,"['judge', 'aesthetic', 'qualities', 'and', 'relationship', 'to', 'future', 'values', '.']"
recite a policy of immigration in europe .,Remember,"['recite', 'a', 'policy', 'of', 'immigration', 'in', 'europe', '.']"
decide which candidate would best fill the position of principal.,Evaluate,"['decide', 'which', 'candidate', 'would', 'best', 'fill', 'the', 'position', 'of', 'principal', '.']"
establish criteria for making this choice and defend your final selection.,Evaluate,"['establish', 'criteria', 'for', 'making', 'this', 'choice', 'and', 'defend', 'your', 'final', 'selection', '.']"
rewrite the principles of test writing.,Understand,"['rewrite', 'the', 'principles', 'of', 'test', 'writing', '.']"
list the steps involved in titration.,Remember,"['list', 'the', 'steps', 'involved', 'in', 'titration', '.']"
how would you change the story to create a different ending?,Create,"['how', 'would', 'you', 'change', 'the', 'story', 'to', 'create', 'a', 'different', 'ending', '?']"
"develop a way to teach the concept of ""adjectives"".",Create,"['develop', 'a', 'way', 'to', 'teach', 'the', 'concept', 'of', '``', 'adjectives', ""''"", '.']"
write a song about 'old macdonald' who had a bulldozer instead of a farm.,Create,"['write', 'a', 'song', 'about', ""'old"", 'macdonald', ""'"", 'who', 'had', 'a', 'bulldozer', 'instead', 'of', 'a', 'farm', '.']"
explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Create,"['explain', 'why', 'it', 'is', 'likely', 'that', 'a', 'matriarchal', 'family', 'system', 'would', 'be', 'found', 'in', 'a', 'matrilocal', 'or', 'matrilineal', 'society', '.']"
"given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Understand,"['given', 'a', 'graph', 'of', 'production', 'trends', 'in', 'automobiles', ',', 'describe', 'what', 'the', 'graph', 'represents', 'in', 'a', 'memo', 'to', 'your', 'boss', '.']"
recite the the gaussian law,Remember,"['recite', 'the', 'the', 'gaussian', 'law']"
how would you investigate this abnormality,Analyze,"['how', 'would', 'you', 'investigate', 'this', 'abnormality']"
what do you think is the mass and why,Evaluate,"['what', 'do', 'you', 'think', 'is', 'the', 'mass', 'and', 'why']"
can you create new and unusual uses for . . .?,Create,"['can', 'you', 'create', 'new', 'and', 'unusual', 'uses', 'for', '.', '.', '.', '?']"
which of the following is the method for determining the volume of a cylinder?,Remember,"['which', 'of', 'the', 'following', 'is', 'the', 'method', 'for', 'determining', 'the', 'volume', 'of', 'a', 'cylinder', '?']"
"in a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Apply,"['in', 'a', 'teaching', 'simulation', 'with', 'your', 'peers', 'role-playing', '6th', 'grade', 'students', ',', 'demonstrate', 'the', 'principle', 'of', 'reinforcement', 'in', 'classroom', 'interactions', 'and', 'prepare', 'a', 'half', 'page', 'description', 'of', 'what', 'happened', 'during', 'the', 'simulation', 'that', 'validated', 'the', 'principle', '.']"
summarize the main point of these two texts in your own words,Understand,"['summarize', 'the', 'main', 'point', 'of', 'these', 'two', 'texts', 'in', 'your', 'own', 'words']"
how to combine virtual symmetry and symbolic model checking effectively,Create,"['how', 'to', 'combine', 'virtual', 'symmetry', 'and', 'symbolic', 'model', 'checking', 'effectively']"
how much did he pay for his car,Remember,"['how', 'much', 'did', 'he', 'pay', 'for', 'his', 'car']"
"after solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluate,"['after', 'solving', 'a', 'problem', ',', 'determine', 'the', 'degree', 'to', 'which', 'the', 'problem', 'was', 'solved', 'as', 'efficiently', 'as', 'possible']"
integrate training from several sources to solve a problem.,Create,"['integrate', 'training', 'from', 'several', 'sources', 'to', 'solve', 'a', 'problem', '.']"
compare and contrast animals that the class has made.,Analyze,"['compare', 'and', 'contrast', 'animals', 'that', 'the', 'class', 'has', 'made', '.']"
are you a . . . person?,Evaluate,"['are', 'you', 'a', '.', '.', '.', 'person', '?']"
compose your own note-taking design that incorporates all theadvantages of the cornell method.,Create,"['compose', 'your', 'own', 'note-taking', 'design', 'that', 'incorporates', 'all', 'theadvantages', 'of', 'the', 'cornell', 'method', '.']"
which of the two liquids is hypotonic,Remember,"['which', 'of', 'the', 'two', 'liquids', 'is', 'hypotonic']"
construct the data path of the risc processor given in the previous question,Apply,"['construct', 'the', 'data', 'path', 'of', 'the', 'risc', 'processor', 'given', 'in', 'the', 'previous', 'question']"
listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluate,"['listen', 'to', 'two', 'classmates', 'conversing', 'on', 'tape', 'and', 'critique', 'their', 'performance', 'on', 'the', 'basis', 'of', 'the', 'skills', 'covered', 'this', 'semester', '.']"
identify which word begins with the same sound as the s in sun (knowledge of letter s),Remember,"['identify', 'which', 'word', 'begins', 'with', 'the', 'same', 'sound', 'as', 'the', 's', 'in', 'sun', '(', 'knowledge', 'of', 'letter', 's', ')']"
critically examine the strengths and weaknesses of the positivist paradigm,Analyze,"['critically', 'examine', 'the', 'strengths', 'and', 'weaknesses', 'of', 'the', 'positivist', 'paradigm']"
when did the first saudi radio station open,Remember,"['when', 'did', 'the', 'first', 'saudi', 'radio', 'station', 'open']"
"write a c program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Create,"['write', 'a', 'c', 'program', 'that', 'accepts', 'integer', 'inputs', 'from', 'the', 'screen', ',', 'computes', 'the', 'total', 'and', 'average', 'values', ';', 'and', 'displays', 'the', 'values', 'on', 'the', 'screen', '.']"
examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluate,"['examine', 'the', 'stated', 'positions', 'of', 'both', 'major', 'political', 'candidates', 'with', 'regard', 'to', 'a', 'particular', 'issue', 'and', 'state', 'good', 'reasons', '(', 'based', 'on', 'principles', 'discussed', 'in', 'class', ')', 'for', 'why', 'one', 'candidates', 'position', 'is', 'more', 'likely', 'to', 'be', 'effective', 'than', 'the', 'other', ""'s"", '.']"
solve a math problem using familiar procedure or formula,Apply,"['solve', 'a', 'math', 'problem', 'using', 'familiar', 'procedure', 'or', 'formula']"
summarize a story in own words.,Understand,"['summarize', 'a', 'story', 'in', 'own', 'words', '.']"
how do you think one should reason in making ethical decisions in business,Evaluate,"['how', 'do', 'you', 'think', 'one', 'should', 'reason', 'in', 'making', 'ethical', 'decisions', 'in', 'business']"
how can we combine and abstract facts about a software system to create new knowledge?,Create,"['how', 'can', 'we', 'combine', 'and', 'abstract', 'facts', 'about', 'a', 'software', 'system', 'to', 'create', 'new', 'knowledge', '?']"
judge whether olympic ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluate,"['judge', 'whether', 'olympic', 'ideals', 'are', 'realistic', 'or', 'unrealistic', 'for', 'the', 'contemporary', 'elite', 'athlete', '.']"
invent a machine to do a specific task.,Create,"['invent', 'a', 'machine', 'to', 'do', 'a', 'specific', 'task', '.']"
when was the first airport in the yemen built,Remember,"['when', 'was', 'the', 'first', 'airport', 'in', 'the', 'yemen', 'built']"
"how can we construct h given i, b and e?",Apply,"['how', 'can', 'we', 'construct', 'h', 'given', 'i', ',', 'b', 'and', 'e', '?']"
use a manual to calculate an employee's vacation time.,Apply,"['use', 'a', 'manual', 'to', 'calculate', 'an', 'employee', ""'s"", 'vacation', 'time', '.']"
summarize a historical document,Understand,"['summarize', 'a', 'historical', 'document']"
write a poem about this book.,Create,"['write', 'a', 'poem', 'about', 'this', 'book', '.']"
make up a puzzle game using the ideas from the study area.,Apply,"['make', 'up', 'a', 'puzzle', 'game', 'using', 'the', 'ideas', 'from', 'the', 'study', 'area', '.']"
revise and process to improve the outcome.,Create,"['revise', 'and', 'process', 'to', 'improve', 'the', 'outcome', '.']"
restate the olympic motto in your own words.,Understand,"['restate', 'the', 'olympic', 'motto', 'in', 'your', 'own', 'words', '.']"
define four types of traceability.,Remember,"['define', 'four', 'types', 'of', 'traceability', '.']"
evaluate two internet sources of information about the egyptians. which would be a better choice for your purpose and why?,Evaluate,"['evaluate', 'two', 'internet', 'sources', 'of', 'information', 'about', 'the', 'egyptians', '.', 'which', 'would', 'be', 'a', 'better', 'choice', 'for', 'your', 'purpose', 'and', 'why', '?']"
draw the block diagram of the central processing unit,Remember,"['draw', 'the', 'block', 'diagram', 'of', 'the', 'central', 'processing', 'unit']"
"briefly compare this way of testing the satisfiability of to the more standard way using sld resolution, as in prolog",Understand,"['briefly', 'compare', 'this', 'way', 'of', 'testing', 'the', 'satisfiability', 'of', 'to', 'the', 'more', 'standard', 'way', 'using', 'sld', 'resolution', ',', 'as', 'in', 'prolog']"
examine the differences between the model excluding the most influential observation and the model including all observations.,Analyze,"['examine', 'the', 'differences', 'between', 'the', 'model', 'excluding', 'the', 'most', 'influential', 'observation', 'and', 'the', 'model', 'including', 'all', 'observations', '.']"
compose an original work which incorporates five common materials in sculpture.,Create,"['compose', 'an', 'original', 'work', 'which', 'incorporates', 'five', 'common', 'materials', 'in', 'sculpture', '.']"
can you design a . . . to . . .?,Create,"['can', 'you', 'design', 'a', '.', '.', '.', 'to', '.', '.', '.', '?']"
evaluate whether their model is a true representation of the local environment.,Evaluate,"['evaluate', 'whether', 'their', 'model', 'is', 'a', 'true', 'representation', 'of', 'the', 'local', 'environment', '.']"
explain the whole method of crushing,Understand,"['explain', 'the', 'whole', 'method', 'of', 'crushing']"
can you devise an explicit formula for,Create,"['can', 'you', 'devise', 'an', 'explicit', 'formula', 'for']"
describe in your own words how to copy text from one program into another.,Understand,"['describe', 'in', 'your', 'own', 'words', 'how', 'to', 'copy', 'text', 'from', 'one', 'program', 'into', 'another', '.']"
differentiate printf function calls for displaying prompts and for echoing data.,Analyze,"['differentiate', 'printf', 'function', 'calls', 'for', 'displaying', 'prompts', 'and', 'for', 'echoing', 'data', '.']"
demonstrate how the seasons occur.,Apply,"['demonstrate', 'how', 'the', 'seasons', 'occur', '.']"
tell in your own words the beginning of the book.,Understand,"['tell', 'in', 'your', 'own', 'words', 'the', 'beginning', 'of', 'the', 'book', '.']"
distinguish between the following giving suitable examples,Analyze,"['distinguish', 'between', 'the', 'following', 'giving', 'suitable', 'examples']"
use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Apply,"['use', 'the', 'distance', 'travelled', 'and', 'cost', 'of', 'petrol', 'to', 'calculate', 'the', 'cost', 'of', 'a', 'coach', 'trip', 'using', 'a', 'spreadsheet', '.']"
state the pattern for expressing time in french.,Remember,"['state', 'the', 'pattern', 'for', 'expressing', 'time', 'in', 'french', '.']"
list the procedure to draw a mixed potential or evans' diagram,Remember,"['list', 'the', 'procedure', 'to', 'draw', 'a', 'mixed', 'potential', 'or', 'evans', ""'"", 'diagram']"
what can i do to investigate this problem further,Analyze,"['what', 'can', 'i', 'do', 'to', 'investigate', 'this', 'problem', 'further']"
write a list of criteria to judge the willy raps.,Evaluate,"['write', 'a', 'list', 'of', 'criteria', 'to', 'judge', 'the', 'willy', 'raps', '.']"
determine the next number in a sequence,Understand,"['determine', 'the', 'next', 'number', 'in', 'a', 'sequence']"
"define stream bank, floodplain and substrate.",Remember,"['define', 'stream', 'bank', ',', 'floodplain', 'and', 'substrate', '.']"
construct a market strategy for your product using a known strategy as a model.,Apply,"['construct', 'a', 'market', 'strategy', 'for', 'your', 'product', 'using', 'a', 'known', 'strategy', 'as', 'a', 'model', '.']"
restate main idea of story in own words.,Understand,"['restate', 'main', 'idea', 'of', 'story', 'in', 'own', 'words', '.']"
list the characteristics peculiar to the cubist movement.,Remember,"['list', 'the', 'characteristics', 'peculiar', 'to', 'the', 'cubist', 'movement', '.']"
express the rule in function notation,Understand,"['express', 'the', 'rule', 'in', 'function', 'notation']"
what is the title of the first movie you saw,Remember,"['what', 'is', 'the', 'title', 'of', 'the', 'first', 'movie', 'you', 'saw']"
pretend you are a librarian recommending this book to someone. write a paragraph telling what  you would say.,Create,"['pretend', 'you', 'are', 'a', 'librarian', 'recommending', 'this', 'book', 'to', 'someone', '.', 'write', 'a', 'paragraph', 'telling', 'what', 'you', 'would', 'say', '.']"
select the athlete of the century and analyze why you chose this person.,Analyze,"['select', 'the', 'athlete', 'of', 'the', 'century', 'and', 'analyze', 'why', 'you', 'chose', 'this', 'person', '.']"
"explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Create,"['explain', 'how', 'the', 'biological', 'concept', 'of', 'symbiotic', 'relationships', 'could', 'be', 'used', 'to', 'help', 'solve', 'socially', 'created', 'problems', 'like', 'water', 'pollution', ',', 'overflowing', 'garbage', 'landfills', ',', 'or', 'homelessness', '.']"
label the parts of the following insects: grasshopper,Remember,"['label', 'the', 'parts', 'of', 'the', 'following', 'insects', ':', 'grasshopper']"
state the formula for the area of a circle,Remember,"['state', 'the', 'formula', 'for', 'the', 'area', 'of', 'a', 'circle']"
explain in your own words what do you mean by the term economics?,Understand,"['explain', 'in', 'your', 'own', 'words', 'what', 'do', 'you', 'mean', 'by', 'the', 'term', 'economics', '?']"
list the levels in bloom's taxonomy.,Remember,"['list', 'the', 'levels', 'in', 'bloom', ""'s"", 'taxonomy', '.']"
evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluate,"['evaluate', 'the', 'level', 'of', 'galvanic', 'coupling', 'between', 'two', 'metals', 'using', 'basic', 'kinetic', 'information', '?', '(', 'level', '4', ')']"
choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluate,"['choose', 'a', 'paint', 'schedule', 'for', 'the', 'maintenance', 'of', 'an', 'outdoor', 'structure', '?', '(', 'level', '2', ')']"
develop one plausible ending for all three short stories below.,Create,"['develop', 'one', 'plausible', 'ending', 'for', 'all', 'three', 'short', 'stories', 'below', '.']"
distinguish between abstract date types (adts) and implementations of adts,Analyze,"['distinguish', 'between', 'abstract', 'date', 'types', '(', 'adts', ')', 'and', 'implementations', 'of', 'adts']"
how do we differentiate between an interview and an interrogation?,Analyze,"['how', 'do', 'we', 'differentiate', 'between', 'an', 'interview', 'and', 'an', 'interrogation', '?']"
how do you analyze a marginally rct,Analyze,"['how', 'do', 'you', 'analyze', 'a', 'marginally', 'rct']"
can you compare your . . . with that presented in . . .?,Analyze,"['can', 'you', 'compare', 'your', '.', '.', '.', 'with', 'that', 'presented', 'in', '.', '.', '.', '?']"
create a storyboard for a sequel to your book. use the same characters.,Create,"['create', 'a', 'storyboard', 'for', 'a', 'sequel', 'to', 'your', 'book', '.', 'use', 'the', 'same', 'characters', '.']"
in which countries is arabic language spoken,Remember,"['in', 'which', 'countries', 'is', 'arabic', 'language', 'spoken']"
differentiate the following functions using the quotient rule,Analyze,"['differentiate', 'the', 'following', 'functions', 'using', 'the', 'quotient', 'rule']"
who is the first president   of usa,Remember,"['who', 'is', 'the', 'first', 'president', 'of', 'usa']"
how would you relate position concept with position strategy,Apply,"['how', 'would', 'you', 'relate', 'position', 'concept', 'with', 'position', 'strategy']"
what would happen if the rainfall doubled in your state next year,Apply,"['what', 'would', 'happen', 'if', 'the', 'rainfall', 'doubled', 'in', 'your', 'state', 'next', 'year']"
what are the representational symbols on maps and charts,Remember,"['what', 'are', 'the', 'representational', 'symbols', 'on', 'maps', 'and', 'charts']"
use a costing model to compute prices on goods to maximise profits and minimise costs.,Apply,"['use', 'a', 'costing', 'model', 'to', 'compute', 'prices', 'on', 'goods', 'to', 'maximise', 'profits', 'and', 'minimise', 'costs', '.']"
compare and contrast our school to other communities.,Analyze,"['compare', 'and', 'contrast', 'our', 'school', 'to', 'other', 'communities', '.']"
recite the principles of the data protection act.,Remember,"['recite', 'the', 'principles', 'of', 'the', 'data', 'protection', 'act', '.']"
"how do the clauses and expressions given in the article which replace goto statements, lead to the three traditional control statements",Create,"['how', 'do', 'the', 'clauses', 'and', 'expressions', 'given', 'in', 'the', 'article', 'which', 'replace', 'goto', 'statements', ',', 'lead', 'to', 'the', 'three', 'traditional', 'control', 'statements']"
choose any u.s. president and explain how he exercised his power as commander in chief of the armed forces.,Apply,"['choose', 'any', 'u.s.', 'president', 'and', 'explain', 'how', 'he', 'exercised', 'his', 'power', 'as', 'commander', 'in', 'chief', 'of', 'the', 'armed', 'forces', '.']"
what are the units of corrosion penetration rates? relate these to faraday's law,Remember,"['what', 'are', 'the', 'units', 'of', 'corrosion', 'penetration', 'rates', '?', 'relate', 'these', 'to', 'faraday', ""'s"", 'law']"
evaluate the corrosion monitoring needs of a chemical processing plant,Evaluate,"['evaluate', 'the', 'corrosion', 'monitoring', 'needs', 'of', 'a', 'chemical', 'processing', 'plant']"
break down the components of a standard film camera and explain how they interact to make the machine work.,Analyze,"['break', 'down', 'the', 'components', 'of', 'a', 'standard', 'film', 'camera', 'and', 'explain', 'how', 'they', 'interact', 'to', 'make', 'the', 'machine', 'work', '.']"
"following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Create,"['following', 'the', 'identification', 'of', 'the', 'forms', 'of', 'corrosion', 'that', 'were', 'involved', 'in', 'a', 'failure', ',', 'recommend', 'a', 'solution', 'to', 'avoid', 'this', 'failure', '?']"
state the guidelines to design an anodic protection system,Remember,"['state', 'the', 'guidelines', 'to', 'design', 'an', 'anodic', 'protection', 'system']"
suggest ways in which it could have responded more effectively,Evaluate,"['suggest', 'ways', 'in', 'which', 'it', 'could', 'have', 'responded', 'more', 'effectively']"
define mercantilism.,Remember,"['define', 'mercantilism', '.']"
use the e-ph or pourbaix diagram of cr to determine the control current and potential for the anodic protection of a s43000 stainless steel vessel.,Understand,"['use', 'the', 'e-ph', 'or', 'pourbaix', 'diagram', 'of', 'cr', 'to', 'determine', 'the', 'control', 'current', 'and', 'potential', 'for', 'the', 'anodic', 'protection', 'of', 'a', 's43000', 'stainless', 'steel', 'vessel', '.']"
"evaluate a work of art, giving the reasons for your evaluation.",Evaluate,"['evaluate', 'a', 'work', 'of', 'art', ',', 'giving', 'the', 'reasons', 'for', 'your', 'evaluation', '.']"
how was life different in your town 100 years ago?,Analyze,"['how', 'was', 'life', 'different', 'in', 'your', 'town', '100', 'years', 'ago', '?']"
tell in your own words how the setting of the story made it more interesting.,Understand,"['tell', 'in', 'your', 'own', 'words', 'how', 'the', 'setting', 'of', 'the', 'story', 'made', 'it', 'more', 'interesting', '.']"
how much time did he took to build a house,Remember,"['how', 'much', 'time', 'did', 'he', 'took', 'to', 'build', 'a', 'house']"
how would you restructure the school day to reflect children's developmental needs?,Create,"['how', 'would', 'you', 'restructure', 'the', 'school', 'day', 'to', 'reflect', 'children', ""'s"", 'developmental', 'needs', '?']"
"which of the two algorithms, bubblesort or quicksort, is more efficient? justify your answer.",Evaluate,"['which', 'of', 'the', 'two', 'algorithms', ',', 'bubblesort', 'or', 'quicksort', ',', 'is', 'more', 'efficient', '?', 'justify', 'your', 'answer', '.']"
describe what happened at...?,Understand,"['describe', 'what', 'happened', 'at', '...', '?']"
how is scientific progress similar to darwinian evolution according to kuhn,Analyze,"['how', 'is', 'scientific', 'progress', 'similar', 'to', 'darwinian', 'evolution', 'according', 'to', 'kuhn']"
what is  your family name,Remember,"['what', 'is', 'your', 'family', 'name']"
judge the value of . . .?,Evaluate,"['judge', 'the', 'value', 'of', '.', '.', '.', '?']"
recall the following pictoral example of an implementation of some queue operations,Remember,"['recall', 'the', 'following', 'pictoral', 'example', 'of', 'an', 'implementation', 'of', 'some', 'queue', 'operations']"
inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analyze,"['inspect', 'the', 'size', 'of', 'the', 'loaded', 'data', ':', 'how', 'many', 'objects', 'and', 'variables', 'does', 'the', 'iris', 'data', 'matrix', 'contain', '?']"
list three characteristics that are unique to the cubist movement.,Remember,"['list', 'three', 'characteristics', 'that', 'are', 'unique', 'to', 'the', 'cubist', 'movement', '.']"
create and perform a play about frogs.,Create,"['create', 'and', 'perform', 'a', 'play', 'about', 'frogs', '.']"
show how they have used creative writing strategies appropriate to the format,Apply,"['show', 'how', 'they', 'have', 'used', 'creative', 'writing', 'strategies', 'appropriate', 'to', 'the', 'format']"
what is the setting of to kill a mockingbird?,Remember,"['what', 'is', 'the', 'setting', 'of', 'to', 'kill', 'a', 'mockingbird', '?']"
express your opinion of 'drugs in sport' through poetry.,Understand,"['express', 'your', 'opinion', 'of', ""'drugs"", 'in', 'sport', ""'"", 'through', 'poetry', '.']"
