Text,Level,Tokens
compare herbatious plants and terrestrial carnivorous animals rely on not a good venn diagram.,Analyze,"['compare', 'herbatious', 'plants', 'and', 'terrestrial', 'carnivorous', 'animals', 'rely', 'on', 'not', 'a', 'good', 'venn', 'diagram', '.']"
complete by an analogy ( while analogy tasks only are inference tasks ),Understand,"['complete', 'by', 'an', 'analogy', '(', 'while', 'analogy', 'tasks', 'only', 'are', 'inference', 'tasks', ')']"
invent is a simple machine to do a very specific task.,Create,"['invent', 'is', 'a', 'simple', 'machine', 'to', 'do', 'a', 'very', 'specific', 'task', '.']"
explain right what a complete poem means.,Understand,"['explain', 'right', 'what', 'a', 'complete', 'poem', 'means', '.']"
construct a standard simple payroll program utility that actually computes net pay amount for all those still working 40 hours hours or less and net pay rate for those working over 40 paid hours.,Apply,"['construct', 'a', 'standard', 'simple', 'payroll', 'program', 'utility', 'that', 'actually', 'computes', 'net', 'pay', 'amount', 'for', 'all', 'those', 'still', 'working', '40', 'hours', 'hours', 'or', 'less', 'and', 'net', 'pay', 'rate', 'for', 'those', 'working', 'over', '40', 'paid', 'hours', '.']"
"candidates analyze the problem, successfully identifying its individual variables.",Analyze,"['candidates', 'analyze', 'the', 'problem', ',', 'successfully', 'identifying', 'its', 'individual', 'variables', '.']"
"given an arbitrary argument on such any fixed position, often enumerate the logical fallacies given in deciding that argument.",Evaluate,"['given', 'an', 'arbitrary', 'argument', 'on', 'such', 'any', 'fixed', 'position', ',', 'often', 'enumerate', 'the', 'logical', 'fallacies', 'given', 'in', 'deciding', 'that', 'argument', '.']"
"create a brand new song for on the opening line finale of "" and mary had me a dear little lamb "".",Create,"['create', 'a', 'brand', 'new', 'song', 'for', 'on', 'the', 'opening', 'line', 'finale', 'of', '``', 'and', 'mary', 'had', 'me', 'a', 'dear', 'little', 'lamb', '``', '.']"
organize this book into three or more short sections altogether and give off your own english subtitle used for publishing each section.,Create,"['organize', 'this', 'book', 'into', 'three', 'or', 'more', 'short', 'sections', 'altogether', 'and', 'give', 'off', 'your', 'own', 'english', 'subtitle', 'used', 'for', 'publishing', 'each', 'section', '.']"
develop one perfectly plausible ending model for all three possible short stories given below.,Create,"['develop', 'one', 'perfectly', 'plausible', 'ending', 'model', 'for', 'all', 'three', 'possible', 'short', 'stories', 'given', 'below', '.']"
use all the distance rail travelled and cost of petrol to calculate all the marginal cost of enabling a coach to trip using using a spreadsheet.,Apply,"['use', 'all', 'the', 'distance', 'rail', 'travelled', 'and', 'cost', 'of', 'petrol', 'to', 'calculate', 'all', 'the', 'marginal', 'cost', 'of', 'enabling', 'a', 'coach', 'to', 'trip', 'using', 'using', 'a', 'spreadsheet', '.']"
estimate the initial difficulty of the solution question,Evaluate,"['estimate', 'the', 'initial', 'difficulty', 'of', 'the', 'solution', 'question']"
we construct complex a plain simple payroll program that computes net pay claims for both those working 40 time hours or even less collectively and net pay for those working days over 40 hours.,Apply,"['we', 'construct', 'complex', 'a', 'plain', 'simple', 'payroll', 'program', 'that', 'computes', 'net', 'pay', 'claims', 'for', 'both', 'those', 'working', '40', 'time', 'hours', 'or', 'even', 'less', 'collectively', 'and', 'net', 'pay', 'for', 'those', 'working', 'days', 'over', '40', 'hours', '.']"
"proceed in starting a teaching simulation with sharing your learning peers with role - playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions interactive and prepare a single half page clinical description of what happened during during the simulation but that validated the principle.",Apply,"['proceed', 'in', 'starting', 'a', 'teaching', 'simulation', 'with', 'sharing', 'your', 'learning', 'peers', 'with', 'role', '-', 'playing', '6th', 'grade', 'students', ',', 'demonstrate', 'the', 'principle', 'of', 'reinforcement', 'in', 'classroom', 'interactions', 'interactive', 'and', 'prepare', 'a', 'single', 'half', 'page', 'clinical', 'description', 'of', 'what', 'happened', 'during', 'during', 'the', 'simulation', 'but', 'that', 'validated', 'the', 'principle', '.']"
list all reserved words use in simple c programming.,Remember,"['list', 'all', 'reserved', 'words', 'use', 'in', 'simple', 'c', 'programming', '.']"
"identify is a additive property ( called commutative, is additive, etc (",Remember,"['identify', 'is', 'a', 'additive', 'property', '(', 'called', 'commutative', ',', 'is', 'additive', ',', 'etc', '(']"
estimate at the epicentral time coordinates basis of on the earth - quake,Evaluate,"['estimate', 'at', 'the', 'epicentral', 'time', 'coordinates', 'basis', 'of', 'on', 'the', 'earth', '-', 'quake']"
"illustrate this caption : "" indonesian olympic as a media communication event in to the indonesian information and society """,Understand,"['illustrate', 'this', 'caption', ':', '``', 'indonesian', 'olympic', 'as', 'a', 'media', 'communication', 'event', 'in', 'to', 'the', 'indonesian', 'information', 'and', 'society', '``']"
make a ground paper - a mache acoustic map suitable to include relevant information about tracking an event.,Apply,"['make', 'a', 'ground', 'paper', '-', 'a', 'mache', 'acoustic', 'map', 'suitable', 'to', 'include', 'relevant', 'information', 'about', 'tracking', 'an', 'event', '.']"
interpret like the following pictures.,Understand,"['interpret', 'like', 'the', 'following', 'pictures', '.']"
predict what will likely happen next next all in.,Evaluate,"['predict', 'what', 'will', 'likely', 'happen', 'next', 'next', 'all', 'in', '.']"
who was the very first to successfully compose extensively in the arts of islamic makamat,Remember,"['who', 'was', 'the', 'very', 'first', 'to', 'successfully', 'compose', 'extensively', 'in', 'the', 'arts', 'of', 'islamic', 'makamat']"
they calculate for every x based in the following main equation : 12x = 36,Apply,"['they', 'calculate', 'for', 'every', 'x', 'based', 'in', 'the', 'following', 'main', 'equation', ':', '12x', '=', '36']"
how do these teenagers use to code in your emails later and instant messages?,Apply,"['how', 'do', 'these', 'teenagers', 'use', 'to', 'code', 'in', 'your', 'emails', 'later', 'and', 'instant', 'messages', '?']"
thus what are fundamentally the structure or functions of our congress,Remember,"['thus', 'what', 'are', 'fundamentally', 'the', 'structure', 'or', 'functions', 'of', 'our', 'congress']"
to outline the aim of two case studies within the the,Understand,"['to', 'outline', 'the', 'aim', 'of', 'two', 'case', 'studies', 'within', 'the', 'the']"
they compose a rhythm or even put new words down to a known new melody.,Create,"['they', 'compose', 'a', 'rhythm', 'or', 'even', 'put', 'new', 'words', 'down', 'to', 'a', 'known', 'new', 'melody', '.']"
then how many much is your weight,Remember,"['then', 'how', 'many', 'much', 'is', 'your', 'weight']"
how was your life any different in visiting your town 100 years years ago?,Analyze,"['how', 'was', 'your', 'life', 'any', 'different', 'in', 'visiting', 'your', 'town', '100', 'years', 'years', 'ago', '?']"
just state in your fancy own words what person the author often means when he says,Understand,"['just', 'state', 'in', 'your', 'fancy', 'own', 'words', 'what', 'person', 'the', 'author', 'often', 'means', 'when', 'he', 'says']"
"and how can we we construct g h given i, j b and e?",Apply,"['and', 'how', 'can', 'we', 'we', 'construct', 'g', 'h', 'given', 'i', ',', 'j', 'b', 'and', 'e', '?']"
would you classify the primary zener diode in this circuit system as a wire series conductor voltage regulator with or a shunt wire voltage series regulator,Understand,"['would', 'you', 'classify', 'the', 'primary', 'zener', 'diode', 'in', 'this', 'circuit', 'system', 'as', 'a', 'wire', 'series', 'conductor', 'voltage', 'regulator', 'with', 'or', 'a', 'shunt', 'wire', 'voltage', 'series', 'regulator']"
how are the adolescents with using asd similar of slightly different categories from each other in reading their training sources type of communication relationship breakdowns?,Analyze,"['how', 'are', 'the', 'adolescents', 'with', 'using', 'asd', 'similar', 'of', 'slightly', 'different', 'categories', 'from', 'each', 'other', 'in', 'reading', 'their', 'training', 'sources', 'type', 'of', 'communication', 'relationship', 'breakdowns', '?']"
sometimes paraphrase the poem twice in against your own words,Understand,"['sometimes', 'paraphrase', 'the', 'poem', 'twice', 'in', 'against', 'your', 'own', 'words']"
"in using your own other words, so how often would you summarize the story looking up",Understand,"['in', 'using', 'your', 'own', 'other', 'words', ',', 'so', 'how', 'often', 'would', 'you', 'summarize', 'the', 'story', 'looking', 'up']"
we classify of types of corrosion inhibitors,Understand,"['we', 'classify', 'of', 'types', 'of', 'corrosion', 'inhibitors']"
use the following unification algorithm to determine explicitly whether the one following is two terms really are uni _ c able. show intermediate step,Apply,"['use', 'the', 'following', 'unification', 'algorithm', 'to', 'determine', 'explicitly', 'whether', 'the', 'one', 'following', 'is', 'two', 'terms', 'really', 'are', 'uni', '_', 'c', 'able', '.', 'show', 'intermediate', 'step']"
state in your own words the rule book for softball balls struck and slug strikes used in baseball.,Understand,"['state', 'in', 'your', 'own', 'words', 'the', 'rule', 'book', 'for', 'softball', 'balls', 'struck', 'and', 'slug', 'strikes', 'used', 'in', 'baseball', '.']"
devise a new economic system already based directly on the original ones not that can already exist.,Create,"['devise', 'a', 'new', 'economic', 'system', 'already', 'based', 'directly', 'on', 'the', 'original', 'ones', 'not', 'that', 'can', 'already', 'exist', '.']"
show to me how you would once check the brake that lights are all working on around this car,Apply,"['show', 'to', 'me', 'how', 'you', 'would', 'once', 'check', 'the', 'brake', 'that', 'lights', 'are', 'all', 'working', 'on', 'around', 'this', 'car']"
what actually happens if you just change the direction out of the circular displacement ( but not changing its real size )?,Apply,"['what', 'actually', 'happens', 'if', 'you', 'just', 'change', 'the', 'direction', 'out', 'of', 'the', 'circular', 'displacement', '(', 'but', 'not', 'changing', 'its', 'real', 'size', ')', '?']"
derive into a kinetic model estimate from available experimental data.,Apply,"['derive', 'into', 'a', 'kinetic', 'model', 'estimate', 'from', 'available', 'experimental', 'data', '.']"
consider how so much data can this be stored in using the cach memory,Remember,"['consider', 'how', 'so', 'much', 'data', 'can', 'this', 'be', 'stored', 'in', 'using', 'the', 'cach', 'memory']"
how many did chinese traditional newspapers directly differ from us,Analyze,"['how', 'many', 'did', 'chinese', 'traditional', 'newspapers', 'directly', 'differ', 'from', 'us']"
"if in keeping your own personal words, how would you define those transferable skills",Understand,"['if', 'in', 'keeping', 'your', 'own', 'personal', 'words', ',', 'how', 'would', 'you', 'define', 'those', 'transferable', 'skills']"
teams appraise the great speech's effectiveness based solely upon achieving the foundation class'criteria.,Evaluate,"['teams', 'appraise', 'the', 'great', 'speech', ""'s"", 'effectiveness', 'based', 'solely', 'upon', 'achieving', 'the', 'foundation', ""class'criteria"", '.']"
compose also a simple rap or rhyme in about zoo aquarium animals.,Create,"['compose', 'also', 'a', 'simple', 'rap', 'or', 'rhyme', 'in', 'about', 'zoo', 'aquarium', 'animals', '.']"
i decide today whether you are in favor of building dam on a new floodplain ; please defend your elected position first in a debate.,Evaluate,"['i', 'decide', 'today', 'whether', 'you', 'are', 'in', 'favor', 'of', 'building', 'dam', 'on', 'a', 'new', 'floodplain', ';', 'please', 'defend', 'your', 'elected', 'position', 'first', 'in', 'a', 'debate', '.']"
devise career plans to personally market them or make their artwork more valuable.,Create,"['devise', 'career', 'plans', 'to', 'personally', 'market', 'them', 'or', 'make', 'their', 'artwork', 'more', 'valuable', '.']"
yet how would ending this historical story be different if it had happened in yet a slightly different country?,Analyze,"['yet', 'how', 'would', 'ending', 'this', 'historical', 'story', 'be', 'different', 'if', 'it', 'had', 'happened', 'in', 'yet', 'a', 'slightly', 'different', 'country', '?']"
questions in question which countries is arabic language generally spoken,Remember,"['questions', 'in', 'question', 'which', 'countries', 'is', 'arabic', 'language', 'generally', 'spoken']"
can perhaps you please analyze modern contemporary culture critically and tell me how strong your original work really plays yet a pretty significant meaningful part in the collective remains of our post - modernist culture?,Analyze,"['can', 'perhaps', 'you', 'please', 'analyze', 'modern', 'contemporary', 'culture', 'critically', 'and', 'tell', 'me', 'how', 'strong', 'your', 'original', 'work', 'really', 'plays', 'yet', 'a', 'pretty', 'significant', 'meaningful', 'part', 'in', 'the', 'collective', 'remains', 'of', 'our', 'post', '-', 'modernist', 'culture', '?']"
examine absolute differences between the means performance of each individual of switching one factor.,Analyze,"['examine', 'absolute', 'differences', 'between', 'the', 'means', 'performance', 'of', 'each', 'individual', 'of', 'switching', 'one', 'factor', '.']"
construct take the new data path of and the risc embedded processor given in the following previous question,Apply,"['construct', 'take', 'the', 'new', 'data', 'path', 'of', 'and', 'the', 'risc', 'embedded', 'processor', 'given', 'in', 'the', 'following', 'previous', 'question']"
design provides a specific cost effective strategy not to generate reliable data.,Create,"['design', 'provides', 'a', 'specific', 'cost', 'effective', 'strategy', 'not', 'to', 'generate', 'reliable', 'data', '.']"
state in the characteristics that of each type of corrosion testing are studied,Remember,"['state', 'in', 'the', 'characteristics', 'that', 'of', 'each', 'type', 'of', 'corrosion', 'testing', 'are', 'studied']"
can simply you not distinguish both pot and still rums from column still other rums by taste,Analyze,"['can', 'simply', 'you', 'not', 'distinguish', 'both', 'pot', 'and', 'still', 'rums', 'from', 'column', 'still', 'other', 'rums', 'by', 'taste']"
some compose a device designed that would likely assist an athlete directly in their training.,Create,"['some', 'compose', 'a', 'device', 'designed', 'that', 'would', 'likely', 'assist', 'an', 'athlete', 'directly', 'in', 'their', 'training', '.']"
also what is your family first name,Remember,"['also', 'what', 'is', 'your', 'family', 'first', 'name']"
they draw up the flow chart data of the pnk system,Remember,"['they', 'draw', 'up', 'the', 'flow', 'chart', 'data', 'of', 'the', 'pnk', 'system']"
"in your telescopes own words, never tell what is particularly meant by the definition point of an inscribed isosceles right triangle.",Understand,"['in', 'your', 'telescopes', 'own', 'words', ',', 'never', 'tell', 'what', 'is', 'particularly', 'meant', 'by', 'the', 'definition', 'point', 'of', 'an', 'inscribed', 'isosceles', 'right', 'triangle', '.']"
create a general set of design guidelines to determine on the points of structure a plant susceptible both to their localized corrosion.,Create,"['create', 'a', 'general', 'set', 'of', 'design', 'guidelines', 'to', 'determine', 'on', 'the', 'points', 'of', 'structure', 'a', 'plant', 'susceptible', 'both', 'to', 'their', 'localized', 'corrosion', '.']"
should differentiate between. call by value type and call type by end reference.,Analyze,"['should', 'differentiate', 'between', '.', 'call', 'by', 'value', 'type', 'and', 'call', 'type', 'by', 'end', 'reference', '.']"
design a machine language to perform on a function specific task.,Create,"['design', 'a', 'machine', 'language', 'to', 'perform', 'on', 'a', 'function', 'specific', 'task', '.']"
differentiate between the various following terms along with more appropriate definition examples,Analyze,"['differentiate', 'between', 'the', 'various', 'following', 'terms', 'along', 'with', 'more', 'appropriate', 'definition', 'examples']"
apply it and integrate several different strategies to solve often a given mathematical prediction problem ( often not only according to one formula (,Create,"['apply', 'it', 'and', 'integrate', 'several', 'different', 'strategies', 'to', 'solve', 'often', 'a', 'given', 'mathematical', 'prediction', 'problem', '(', 'often', 'not', 'only', 'according', 'to', 'one', 'formula', '(']"
write with a logically based organized argument even in favor otherwise of a given position.,Create,"['write', 'with', 'a', 'logically', 'based', 'organized', 'argument', 'even', 'in', 'favor', 'otherwise', 'of', 'a', 'given', 'position', '.']"
how far do you often combine comparing the results out of various individual tests to determine whether reading a student can effectively progress to a new next potential semester / phase / year?,Create,"['how', 'far', 'do', 'you', 'often', 'combine', 'comparing', 'the', 'results', 'out', 'of', 'various', 'individual', 'tests', 'to', 'determine', 'whether', 'reading', 'a', 'student', 'can', 'effectively', 'progress', 'to', 'a', 'new', 'next', 'potential', 'semester', '/', 'phase', '/', 'year', '?']"
design developed a strength testing scenario methodology to assess the specific susceptibility levels of an alloy to be used in almost a given technological environment?,Create,"['design', 'developed', 'a', 'strength', 'testing', 'scenario', 'methodology', 'to', 'assess', 'the', 'specific', 'susceptibility', 'levels', 'of', 'an', 'alloy', 'to', 'be', 'used', 'in', 'almost', 'a', 'given', 'technological', 'environment', '?']"
and construct prepare a market strategy set for your chosen product generally using a known strategy as a model.,Apply,"['and', 'construct', 'prepare', 'a', 'market', 'strategy', 'set', 'for', 'your', 'chosen', 'product', 'generally', 'using', 'a', 'known', 'strategy', 'as', 'a', 'model', '.']"
how many kilometers from using your home island to the national university,Remember,"['how', 'many', 'kilometers', 'from', 'using', 'your', 'home', 'island', 'to', 'the', 'national', 'university']"
when exactly did you are born?,Remember,"['when', 'exactly', 'did', 'you', 'are', 'born', '?']"
