Text,Level
relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Apply
how would you relate position concept with position strategy,Apply
"show, through role-play, the final scene in the novel.",Apply
solve a math problem using familiar procedure or formula,Apply
solve for the ten following fraction multiplication problems. please make sure to show all your work.,Apply
would you solve these two problems using similar approaches,Apply
use laplace to solve the following problems,Apply
can you solve the following problem,Apply
how to specify the impact energy and impact test temperature of the material in the code,Apply
specify the thickness of a galvanized coating based on atmospheric data? (level 2),Apply
specify the thickness of a galvanized coating based on atmospheric data? (level 2),Apply
how does one specify the syntactical restrictions,Apply
specify a deterministic finite automaton (dfa) recognizing the,Apply
take a collection of photographs to demonstrate a particular point.,Apply
use a costing model to compute prices on goods to maximise profits and minimise costs.,Apply
use a manual to calculate an employee's vacation time.,Apply
use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Apply
use the rule for a semicolon in a sentence.,Apply
what factors would you change if . . .?,Apply
what questions would you ask if . . .?,Apply
who can use what we know about sonnets and finish this poem?,Apply
would this information be useful if you had a . . .?,Apply
sketch a prediction of the field lines for the arrangement of electrodes shown in figure 2,Apply
sketch the blackbody curves for radiation emitted from the sun and the earth,Apply
sketch a typical absorption process in a packed column with regeneration in form of,Apply
sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,Apply
how do teenagers use code in emails and instant messages?,Apply
use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Apply
use the unification algorithm to determine whether the following two terms are uni_able. show intermediate step,Apply
use tableau methods to prove that the following tableau is valid.,Apply
use a sketch too find the exact value of each expression,Apply
use gauss' law to find the electric field between the plates when the charge on them is q,Apply
what happens if you restrict a determinental process to a subset r  s?,Apply
what would happen if the rainfall doubled in your state next year,Apply
what happens if you change the direction of the displacement (but not its size)?,Apply
what would you do if a heavy growth of bacteria had occurred,Apply
what would result if ...,Apply
what approach would you use to prove the truth of the below statement,Apply
construct one turing machine for computing each of the following functions,Apply
construct a venn diagram to determine the validity of the given argument.,Apply
construct a dictionary and a truth table to determine if the following statements are logically equivalent,Apply
"how can we construct h given i, b and e?",Apply
construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Apply
how do you construct foliations on a given manifold m?,Apply
how to construct the optimal maintenance problem,Apply
how to construct simple solutions when problems are complex?,Apply
construct the 4-bit ripple carry adder circuit,Apply
construct an analog circuit with the following specifications,Apply
construct the data path of the risc processor given in the previous question,Apply
"how do we construct agents that can deliver. ""good"" assistance",Apply
how to construct the selected information system,Apply
show how they have used creative writing strategies appropriate to the format,Apply
show how to modify fitch's algorithm given in class today to accommodate non-binary,Apply
show how e-crm can be used to improve marketing positioning as explained in the article,Apply
how would you show your understanding of the abc process,Apply
show me how you would check the brake lights are working on this car,Apply
analyze safe and dangerous aspects of these features.,Analyze
analyze the characteristics of frogs.,Analyze
analyze the movements and sounds of a frog.,Analyze
"analyze the problem, identifying its variables.",Analyze
break down the components of a standard film camera and explain how they interact to make the machine work.,Analyze
break down the main actions of the story.,Analyze
"by comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analyze
can you compare your . . . with that presented in . . .?,Analyze
can you distinguish between . . .?,Analyze
can you explain what must have happened when . . .?,Analyze
can you find four different feelings pa lia had during the story?,Analyze
compare and contrast animals that the class has made.,Analyze
compare and contrast our school to other communities.,Analyze
"compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analyze
compare and contrast the waterfall model with the prototyping model.,Analyze
compare and contrast two characters in the book.,Analyze
compare fall and spring,Analyze
compare herbatious and carnivorous animals on a venn diagram.,Analyze
compare how different children come to school.,Analyze
compare the place where the story happened with where you live.,Analyze
compare this book to the last book you read.,Analyze
compare three celebrations using a venn diagram.,Analyze
compare two dog food commercials. what is the difference between them and how do they both sell their products?,Analyze
compare two of the characters in this book.,Analyze
conduct an investigation to produce information to support a view.,Analyze
contrast building in the coastal zone with building in a river floodplain.,Analyze
contrast olympic athletes of today with athletes of past olympic games.,Analyze
differentiate between .call by value and call by reference.,Analyze
differentiate printf function calls for displaying prompts and for echoing data.,Analyze
distinguish between micro and macro economics.,Analyze
distinguish facts from hypotheses,Analyze
"divide the story into initiating event, rising action, climax, and falling action",Analyze
"examine what helps to make a good olympics? think about money, schedules, sports and people.",Analyze
"explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analyze
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analyze
"differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyze
how does your pet differ from other animals?,Analyze
how does...compare/contrast with...?,Analyze
how is . . . similar to . . .?,Analyze
how was life different in your town 100 years ago?,Analyze
how was this similar to . . .?,Analyze
how would this story be different if it had happened in a different country?,Analyze
how would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analyze
"if your story happened in a foreign land, compare that land to the united states.",Analyze
"if your story occurred long ago, compare that time with today in a good paragraph. if it was a modern story, compare it with a long time ago and tell what would be different.",Analyze
investigate innovations that can enhance future olympics.,Analyze
make a diagnosis or analyze a case study.,Analyze
select the athlete of the century and analyze why you chose this person.,Analyze
"if interest were compounded monthly instead of daily, what would the difference in interest be?",Analyze
what are the parts or features of...?,Analyze
distinguish between the following giving suitable examples,Analyze
distinguish between abstract date types (adts) and implementations of adts,Analyze
"how do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analyze
how does tdap differ from td vaccine,Analyze
how does autonomy differ with age,Analyze
in what ways do female offenders differ from male offenders,Analyze
in what ways trajectory patterns differ according to abc,Analyze
how do psychologists differ in their general attitudes toward third party presence,Analyze
how did chinese newspapers differ from us,Analyze
how does public health reporting differ today from reporting two years before,Analyze
how does an endorsement differ from a teaching certificate,Analyze
how do we differentiate between genuine buyer and undercover buyer,Analyze
how do we differentiate between an interview and an interrogation?,Analyze
differentiate between the following terms along with appropriate examples,Analyze
differentiate the following functions using the quotient rule,Analyze
can you differentiate between ethnic chinese and ethnic koreans,Analyze
how would you differentiate obstructive apneas from central apneas,Analyze
how would you differentiate a project from a program,Analyze
how is scientific progress similar to darwinian evolution according to kuhn,Analyze
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analyze
in what ways are foxes similar to wolves and dogs,Analyze
how are the adolescents with asd similar of different from each other in their sources of communication breakdowns ?,Analyze
examine the data in the employees and departments tables,Analyze
examine the differences between the model excluding the most influential observation and the model including all observations.,Analyze
critically examine the strengths and weaknesses of the positivist paradigm,Analyze
examine differences between the means of each individual switching factor.,Analyze
examine carefully the given map extract on the following page to help you work out the exercise below.,Analyze
"inspect each of these boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analyze
inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analyze
can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analyze
can you distinguish aged rums from unaged rums by smell,Analyze
can you distinguish pot still rums from column still rums by taste,Analyze
"inspect the pattern of gps positions relative to the ""known"" published value",Analyze
how does your agency inspect against its expectation for operators,Analyze
how to inspect and maintain fresh water plumbing systems properly,Analyze
can you analyze the fractures and determine which should be repaired surgically,Analyze
can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analyze
"how effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analyze
how do you analyze a marginally rct,Analyze
"contrast the treatment of ""well known"" trademarks provided by paris article and by trips article",Analyze
contrast the valles marineris on mars with the grand canyon,Analyze
how does hawaii contrast and compare to florida?,Analyze
investigate whether or not the system can be solved for x; y; z,Analyze
investigate (pointwise) convergence and absolute convergence of the given series of functions,Analyze
how would you investigate this patient,Analyze
how would you investigate this abnormality,Analyze
what can i do to investigate this problem further,Analyze
how the investigation was undertaken,Analyze
how would you differentiate between heterodox and mainstream,Analyze
"how do i differentiate between ""deceive"" and ""cheat on""?",Analyze
"after designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluate
"after examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluate
"after solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluate
appraise data in support of a hypothesis.,Evaluate
appraise the speech's effectiveness based upon the class' criteria.,Evaluate
are there students who should not use the cornell method?,Evaluate
are you a . . . person?,Evaluate
assess the appropriateness of an author's conclusions based on the evidence given.,Evaluate
assess the importance of understanding seasonal patters.,Evaluate
assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluate
assess the strengths and weaknesses of the current olympics and recommend action that should be taken in future olympics: what can be,Evaluate
"award the contract to the best proposal. rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluate
can you defend the idea that simon's incident with the pig's head is the most mystical in the story?,Evaluate
can you defend your position about . . .?,Evaluate
choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluate
choose and illustrate the two most important events in the story.,Evaluate
conclude and support which economic system leads to a higher standard of living.,Evaluate
construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluate
critique an experimental design or a research proposal.,Evaluate
"critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluate
decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluate
decide whether you could have survived on the island blind and alone. write about things that would have been challenging making sure to,Evaluate
decide whether you learned enough about electricity from this book.,Evaluate
decide which candidate would best fill the position of principal.,Evaluate
decide which course of action was most effective,Evaluate
decide which method of solving a problem was most effective,Evaluate
defend the following claim: the cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluate
defend your use of a specific strategy in solving the problem.,Evaluate
describe the economic consequence of a neolocal society. support your description with information you have learned from this course.,Evaluate
design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluate
determine if a character's actions were heroic,Evaluate
do you agree...?,Evaluate
do you think . . . is a good or a bad thing?,Evaluate
establish criteria for making this choice and defend your final selection.,Evaluate
"evaluate a work of art, giving the reasons for your evaluation.",Evaluate
evaluate appropriate and inappropriate actions of characters.,Evaluate
evaluate board games and justify why rules are important.,Evaluate
evaluate the corrosion monitoring needs of a chemical processing plant,Evaluate
evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluate
evaluate two internet sources of information about the egyptians. which would be a better choice for your purpose and why?,Evaluate
evaluate whether their model is a true representation of the local environment.,Evaluate
evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluate
examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluate
explain and justify a new budget.,Evaluate
explain choices made in making recommendations to an end user.,Evaluate
"given an argument on any position, enumerate the logical fallacies in that argument.",Evaluate
"given the data available on a research question, take a position and defend it.",Evaluate
"given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluate
"given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluate
"given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluate
"given two possible solutions, a and b, to solving the given software development problem, decide on the best solution. give your justification.",Evaluate
how effective are . . .?,Evaluate
how would you decide about...?,Evaluate
how would you feel if . . .?,Evaluate
how would you have handled . . .?,Evaluate
"improved, reformed or rejected?",Evaluate
"in a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluate
is there a better solution to . . .?,Evaluate
judge aesthetic qualities and relationship to future values.,Evaluate
judge the difficulty level for yourself.,Evaluate
judge the value of . . .?,Evaluate
judge whether it would be possible to survive on an island alone and blinded. write about it.,Evaluate
judge whether olympic ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluate
justify and nominate ways to prevent animal extinction.,Evaluate
justify the title to kill a mockingbird .,Evaluate
listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluate
place the following in order of priority...,Evaluate
predict what will happen next in.,Evaluate
predict whether phillip will ever go back to visit the cay after several years of recovery. assuming he gets his sight back.,Evaluate
recommend how our classroom or playground could be improved.,Evaluate
select the best proposal for a proposed water treatment plant.,Evaluate
select the most effective solution.,Evaluate
suggest ways in which it could have responded more effectively,Evaluate
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluate
use a judge and jury to discuss the statement 'children enjoy anthony browne's books because of the illustrations'.,Evaluate
"using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",Evaluate
"using the basic principles of socialism discussed in this course, evaluate the us economic system by providing key arguments to support your judgment.",Evaluate
was hemingway a great american writer? first you will need to define greatness.,Evaluate
what changes to . . . would you recommend?,Evaluate
what criteria would you use to assess the validity of a business contract?,Evaluate
what criteria would you use to assess...?,Evaluate
what do you think about . . .?,Evaluate
what is part of this book did you like best. tell why you like it?,Evaluate
what is the most important...?,Evaluate
which of the following actions would probably be least effective in determining the answer?,Evaluate
"which of the two algorithms, bubblesort or quicksort, is more efficient? justify your answer.",Evaluate
would you have liked to have had cinderella for a sister? explain why or why not.,Evaluate
write a list of criteria to judge the willy raps.,Evaluate
revise the story and specify the type of audience that would enjoy this book.,Evaluate
estimate the epicentral coordinates of the earth-quake,Evaluate
estimate the risk of serious illness for consumers in different susceptible population groups,Evaluate
estimate expenditure on hiv/aids education,Evaluate
estimate the difficulty of the question,Evaluate
estimate roughly how long the collision process takes,Evaluate
what do you think is the best thing about coming to viestal?,Evaluate
what do you think is the mass and why,Evaluate
what do you think are the strengths of using integrated math in your program?,Evaluate
do you think that this statement conveys the idea that i am trying to portray,Evaluate
how do you think the community should grow or change,Evaluate
how do you think one should reason in making ethical decisions in business,Evaluate
apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Create
can you create new and unusual uses for . . .?,Create
can you design a . . . to . . .?,Create
can you develop a proposal which would . . .?,Create
can you invent another character for the story?,Create
can you see a possible solution to . . .?,Create
can you write a new recipe for a tasty dish?,Create
choose a character. rewrite a scene from the story from this character's point of view.,Create
combine any two sports to develop a new olympic sport.,Create
"combine elements of drama, music, and dance into a stage presentation.",Create
compose a class story.,Create
compose a dialogue between atticus finch and tom robinson when they first met.,Create
compose a rhythm or put new words to a known melody.,Create
compose a simple rap or rhyme about zoo animals.,Create
compose music for a frog play.,Create
compose a complete c program that reads text strings from a text file into a suitable data,Create
compose a device that would assist an athlete in their training.,Create
compose an original work which incorporates five common materials in sculpture.,Create
compose your own note-taking design that incorporates all theadvantages of the cornell method.,Create
create a chart that compares things that use electricity and things that do not use electricity.,Create
create a new product. give it a name and plan a marketing campaign.,Create
"create a new song for the opening line of ""mary had a little lamb"".",Create
create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Create
create a storyboard for a sequel to your book. use the same characters.,Create
create an equation to represent the solution to this problem.,Create
create and perform a play about frogs.,Create
create plan of local environment by drawing around boxes.,Create
design a building according to given specifications,Create
design a cost effective strategy to generate reliable data.,Create
design a machine to perform a specific task.,Create
design a new animal to live in the jungle.,Create
design a poster for this book.,Create
design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Create
design and make an animal that moves.,Create
design costumes for the characters.,Create
design the architecture of the software system based on the requirements defined in the software requirement specification document,Create
develop a hypothesis.,Create
develop a plan for a new olympic bid system.,Create
develop a sqa plan for a software development project which is defined in the attached document.,Create
"develop a way to teach the concept of ""adjectives"".",Create
develop one plausible ending for all three short stories below.,Create
devise a new economic system based on the ones that already exist.,Create
devise plans to market or make artwork more valuable.,Create
draw a painting that uses various principles of perspective to achieve its effect.,Create
"explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Create
explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Create
"following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Create
given two opposing theories design an experiment to compare them.,Create
how could we determine the number of pennies in a jar without counting them?,Create
how could you re-write this story with a city setting?,Create
"how do the clauses and expressions given in the article which replace goto statements, lead to the three traditional control statements",Create
how many ways can you . . .?,Create
how would the u.s.a. be different if the south had won the civil war?,Create
how would you change the story to create a different ending?,Create
how would you create/design a new...?,Create
how would you restructure the school day to reflect children's developmental needs?,Create
identify one problem in the book and give an alternate solution one not given by the author.,Create
if you had access to all resources how would you deal with . . .?,Create
integrate training from several sources to solve a problem.,Create
invent a machine to do a specific task.,Create
justify your choice of data structure.,Create
make a radio announcement that advertise the book. write it out.,Create
make up a new language code and write material using it.,Create
name one character. rewrite the story from this character's point of view.,Create
organize this book into three or more sections and give your own subtitle for each section.,Create
plan a research paper on a given historical topic,Create
predict the differences of a planet with no seasonal changes.,Create
prepare a book jacket that illustrates the kind of book as well as the story.,Create
pretend you are a librarian recommending this book to someone. write a paragraph telling what  you would say.,Create
revise and process to improve the outcome.,Create
revise how to complete a complex task in order to improve the outcome.,Create
revises and process to improve the outcome.,Create
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Create
suppose phillip wasn't rescued shortly after timothy's death. how long could he have survived?,Create
"using information from the book about one of the main characters, rewrite the ending of the book.",Create
what ideas can you add to...?,Create
what might happen if you combined...?,Create
what solutions would you suggest for...?,Create
what would happen if . . .?,Create
what would you predict/infer from...?,Create
why don't you devise your own way to deal with . . .?,Create
why not compose a song about . . .?,Create
"write a c program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Create
write a letter to the editor on a social issue of concern to you.,Create
write a logically organized argument in favor of a given position.,Create
write a poem about this book.,Create
write a set of rules to prevent what happened in the story.,Create
write a short story relating a personal experience in the style of a picaresque novel.,Create
write a song about 'old macdonald' who had a bulldozer instead of a farm.,Create
